rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,NVDA,3.33,1.0,2023-12-07,16.0602,0.0186,0.8057,-0.0801,1.7197,1.0,0.0,1.0833,0.0,1.0833
2,BULL,LMT,3.33,0.9696,2023-12-07,12.4268,1.0433,0.6142,-0.0669,0.185,1.0,0.0,0.7583,0.0,0.7583
3,BULL,YUM,3.33,0.9618,2023-12-07,14.6938,-0.4089,0.8062,-0.0979,0.5401,1.0,0.0,0.4083,0.0,0.4083
4,BULL,PLAB,3.33,0.9542,2023-12-07,21.326,2.5379,0.5863,-0.0155,1.456,1.0,0.0,0.5,0.0,0.5
5,BULL,ANF,3.33,0.9435,2023-12-07,31.8012,3.9732,0.8744,0.0457,1.0863,1.0,0.0,0.9333,0.0,0.9333
6,BULL,RIVN,3.33,0.934,2023-12-07,17.8316,2.1369,0.6465,0.0475,2.3312,1.0,0.0,0.65,0.0,0.65
7,BULL,BOOT,3.33,0.9333,2023-12-07,13.8042,-0.0274,0.8733,-0.0929,1.2468,1.0,0.0,0.35,0.0,0.35
8,BULL,MYRG,3.33,0.9317,2023-12-07,23.4766,4.7064,0.7687,0.0467,0.9215,1.0,0.0,0.5417,0.0,0.5417
9,BULL,BHF,3.33,0.9304,2023-12-07,40.2706,4.7474,0.8029,0.0175,1.3478,1.0,0.0,0.5333,0.0,0.5333
10,BULL,UPWK,3.33,0.9286,2023-12-07,33.3887,0.7617,0.8489,-0.0455,1.9478,1.0,0.0,0.65,0.0,0.65
11,BULL,INSW,3.33,0.9278,2023-12-07,15.6109,-2.0585,0.8389,-0.0344,-0.0524,1.0,0.0,0.25,0.0,0.25
12,BULL,NOC,3.33,0.9251,2023-12-07,14.1539,2.8494,0.6106,-0.0393,0.1051,1.0,0.0,0.4,0.0,0.4
13,BULL,TPH,3.33,0.925,2023-12-07,39.8663,4.7467,0.718,0.0169,1.4889,1.0,0.0,0.8,0.0,0.8
14,BULL,METC,3.33,0.9237,2023-12-07,41.9264,5.8548,0.8951,0.2943,-0.0584,1.0,0.0,0.8,0.0,0.8
15,BULL,STLD,3.33,0.9231,2023-12-07,23.0221,1.9561,0.7727,-0.0354,0.8041,1.0,0.0,0.4,0.0,0.4
16,BULL,ADBE,3.33,0.9213,2023-12-07,33.7335,1.746,0.857,-0.0414,1.4707,1.0,0.0,0.8,0.0,0.8
17,BULL,PRIM,3.33,0.9206,2023-12-07,21.4643,0.6912,0.8322,-0.0589,0.7547,1.0,0.0,0.8667,0.1167,0.75
18,BULL,ETR,3.33,0.9206,2023-12-07,25.8764,3.817,0.7601,0.0091,0.4812,1.0,0.0,0.4,0.0,0.4
19,BULL,ANET,3.33,0.9197,2023-12-07,17.7979,1.0712,0.6415,-0.0539,1.2924,1.0,0.0,0.4,0.0,0.4
20,BULL,ABNB,3.33,0.9152,2023-12-07,26.462,5.3276,0.9009,0.0808,1.646,1.0,0.0,0.5333,0.0,0.5333
21,BULL,LPX,3.33,0.915,2023-12-07,39.6831,3.4924,0.8176,0.0035,1.3055,1.0,0.0,0.4,0.0,0.4
22,BULL,SLGN,3.33,0.9141,2023-12-07,12.7778,2.0584,0.7515,-0.0419,0.7262,1.0,0.0,0.25,0.0,0.25
23,BULL,AGYS,3.33,0.9137,2023-12-07,23.0949,-0.646,0.871,-0.1023,1.3744,1.0,0.0,1.0833,0.0,1.0833
24,BULL,GRBK,3.33,0.9136,2023-12-07,40.3194,5.2915,0.6715,0.0503,1.4236,1.0,0.0,0.4,0.0,0.4
25,BULL,CVI,3.33,0.9117,2023-12-07,12.5133,0.8923,0.8427,0.0603,0.4933,1.0,0.0,0.2333,0.0,0.2333
26,BULL,FOUR,3.33,0.91,2023-12-07,40.582,5.2159,0.883,0.0918,1.8544,1.0,0.0,1.0833,0.0,1.0833
27,BULL,SBUX,3.33,0.9095,2023-12-07,25.8474,-3.5262,0.8043,-0.1647,0.8294,1.0,0.0,0.1,0.0,0.1
28,BULL,BLDR,3.33,0.9094,2023-12-07,40.0807,4.8148,0.8445,0.0824,2.0656,1.0,0.0,0.4,0.0,0.4
29,BULL,IPAR,3.33,0.909,2023-12-07,17.1722,1.2437,0.8126,-0.0092,0.7435,1.0,0.0,0.5417,0.0,0.5417
30,BULL,PHM,3.33,0.9088,2023-12-07,45.9335,6.9897,0.7611,0.0534,1.3655,1.0,0.0,0.8,0.0,0.8
1,BEAR,CHTR,3.33,1.0,2023-12-07,37.5648,-3.4408,0.8775,-0.1519,1.0269,1.0,0.0,0.0,0.9167,-0.8333
2,BEAR,RRX,3.33,0.983,2023-12-07,26.7365,4.8373,0.7,0.0704,0.5627,1.0,0.0,0.0,0.65,-0.65
3,BEAR,HSIC,3.33,0.9828,2023-12-07,22.1804,5.1214,0.8752,0.0466,0.2481,1.0,0.0,0.0,0.5,-0.5
4,BEAR,ENVA,3.33,0.9819,2023-12-07,20.4354,4.0499,0.792,0.0409,1.5807,1.0,0.0,0.0,0.35,-0.35
