rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,XOM,3.33,1.0,2024-01-12,14.3814,0.5438,0.7162,-0.0048,0.0956,1.0,0.0,0.0333,0.0,0.0333
2,BULL,TGT,3.33,0.9994,2024-01-12,40.3397,0.9609,0.6249,0.0082,0.6421,1.0,0.0,0.4,0.0,0.4
3,BULL,BMY,3.33,0.9987,2024-01-12,28.363,-0.936,0.8108,-0.0419,0.4977,1.0,0.0,0.0333,0.0,0.0333
4,BULL,PR,3.33,0.9981,2024-01-12,11.4254,0.8041,0.7155,0.0091,0.5532,1.0,0.0,0.5,0.0,0.5
5,BULL,NWE,3.33,0.9974,2024-01-12,15.5911,-3.4109,0.7757,-0.0326,0.7661,1.0,0.0,0.0333,0.0,0.0333
6,BULL,ETR,3.33,0.9968,2024-01-12,20.3039,-1.4566,0.7202,0.0094,0.4634,1.0,0.0,0.4,0.0,0.4
7,BULL,DIS,3.33,0.9961,2024-01-12,13.6731,-1.6999,0.6416,-0.0451,0.4654,1.0,0.0,0.0833,0.0,0.0833
8,BULL,ABNB,3.33,0.9955,2024-01-12,18.1859,-2.0372,0.7003,-0.0419,1.5628,1.0,0.0,0.4333,0.0,0.4333
9,BULL,SBCF,3.33,0.9948,2024-01-12,25.8759,-1.2533,0.8945,-0.0413,1.4093,1.0,0.0,0.65,0.0,0.65
10,BULL,VLY,3.33,0.9942,2024-01-12,35.5553,-0.5375,0.8224,-0.015,1.4675,1.0,0.0,0.65,0.0,0.65
11,BULL,BANR,3.33,0.9935,2024-01-12,26.745,-1.5664,0.8261,-0.041,0.8631,1.0,0.0,0.325,0.0,0.325
12,BULL,YELP,3.33,0.9929,2024-01-12,17.9821,-0.7238,0.8027,-0.0357,1.1344,1.0,0.0,0.175,0.0,0.175
13,BULL,UBER,3.33,0.9923,2024-01-12,33.7869,0.7479,0.9555,0.0136,1.5422,1.0,0.0,0.8,0.0,0.8
14,BULL,CVBF,3.33,0.9916,2024-01-12,20.3254,-1.7413,0.7529,-0.0501,1.1546,1.0,0.0,0.65,0.0,0.65
15,BULL,BHF,3.33,0.991,2024-01-12,26.739,-2.4408,0.7439,-0.055,1.0308,1.0,0.0,0.4333,0.0,0.4333
16,BULL,ONB,3.33,0.9903,2024-01-12,30.7321,-1.0527,0.8073,-0.0238,1.0269,1.0,0.0,0.325,0.0,0.325
17,BULL,AROC,3.33,0.9897,2024-01-12,22.4757,-0.1805,0.9283,-0.0199,0.8302,1.0,0.0,0.325,0.0,0.325
18,BULL,BKU,3.33,0.989,2024-01-12,30.4702,-1.3928,0.8809,-0.0467,1.7037,1.0,0.0,0.65,0.2333,0.4167
19,BULL,HUBG,3.33,0.9884,2024-01-12,25.8167,2.293,0.8628,0.0528,0.7794,1.0,0.0,0.65,0.0,0.65
20,BULL,MRTN,3.33,0.9877,2024-01-12,19.5418,0.9717,0.9417,0.0189,0.7835,1.0,0.0,0.175,0.0,0.175
21,BULL,GFS,3.33,0.9871,2024-01-12,19.0422,-0.2101,0.779,-0.0094,1.798,1.0,0.0,0.0833,0.0,0.0833
22,BULL,RDNT,3.33,0.9864,2024-01-12,21.3801,-0.8477,0.8862,-0.049,1.5855,1.0,0.0,0.4,0.0,0.4
23,BULL,OZK,3.33,0.9858,2024-01-12,42.8839,-0.5397,0.7918,-0.0131,1.3014,1.0,0.0,0.65,0.0,0.65
24,BULL,GRBK,3.33,0.9852,2024-01-12,21.0366,-0.492,0.7697,-0.0032,1.3913,1.0,0.0,0.325,0.0,0.325
25,BULL,PRG,3.33,0.9845,2024-01-12,16.3341,-1.2128,0.7191,-0.0372,1.2341,1.0,0.0,0.0583,0.0,0.0583
26,BULL,PATH,3.33,0.9839,2024-01-12,23.6081,-2.7828,0.7341,-0.1221,2.2942,1.0,0.0,0.65,0.0,0.65
27,BULL,WSFS,3.33,0.9832,2024-01-12,23.4717,0.6052,0.8182,0.0205,1.381,1.0,0.0,0.65,0.0,0.65
28,BULL,LNC,3.33,0.9826,2024-01-12,37.1265,2.752,0.8135,0.0809,1.4973,1.0,0.0,0.1333,0.0,0.1333
29,BULL,QNST,3.33,0.9819,2024-01-12,26.77,-2.6002,0.7986,-0.117,0.905,1.0,0.0,0.0833,0.0,0.0833
30,BULL,BAX,3.33,0.9813,2024-01-12,52.858,2.7213,0.8484,0.0379,0.4889,1.0,0.0,0.4,0.0,0.4
