rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,DD,3.33,1.0,2023-12-07,13.8936,2.3002,0.7287,-0.0441,0.4464,1.0,0.0,0.0583,0.0,0.0583
2,BULL,MRK,3.33,0.9994,2023-12-07,14.5473,-0.3056,0.8367,-0.0787,-0.0174,1.0,0.0,0.0833,0.0,0.0833
3,BULL,TAP,3.33,0.9987,2023-12-07,24.4522,3.8024,0.6528,0.0145,0.394,1.0,0.0,0.1083,0.0,0.1083
4,BULL,LTC,3.33,0.9981,2023-12-07,22.7686,4.1822,0.7623,-0.0156,0.6931,1.0,0.0,0.1333,0.0,0.1333
5,BULL,GLPI,3.33,0.9974,2023-12-07,17.764,2.5298,0.7081,-0.0356,0.749,1.0,0.0,0.1083,0.0,0.1083
6,BULL,YUM,3.33,0.9968,2023-12-07,14.6938,-0.4089,0.8062,-0.0979,0.5401,1.0,0.0,0.4083,0.0,0.4083
7,BULL,DCI,3.33,0.9961,2023-12-07,18.0764,2.4984,0.7737,-0.0426,0.6403,1.0,0.0,0.1083,0.0,0.1083
8,BULL,PNW,3.33,0.9955,2023-12-07,17.3169,4.2248,0.7501,0.0175,0.3443,1.0,0.0,0.1083,0.0,0.1083
9,BULL,INSW,3.33,0.9948,2023-12-07,15.6109,-2.0585,0.8389,-0.0344,-0.0524,1.0,0.0,0.25,0.0,0.25
10,BULL,MNST,3.33,0.9942,2023-12-07,22.9275,-1.4369,0.6762,-0.0689,0.6635,1.0,0.0,0.0583,0.0,0.0583
11,BULL,GILD,3.33,0.9935,2023-12-07,18.9485,0.1061,0.7992,-0.0718,0.4695,1.0,0.0,0.1083,0.0,0.1083
12,BULL,FE,3.33,0.9929,2023-12-07,12.7057,2.8925,0.7109,-0.0078,0.3708,1.0,0.0,0.1083,0.0,0.1083
13,BULL,LMT,3.33,0.9922,2023-12-07,12.4268,1.0433,0.6142,-0.0669,0.185,1.0,0.0,0.7583,0.0,0.7583
14,BULL,AVB,3.33,0.9916,2023-12-07,14.2449,1.8985,0.8018,-0.0383,0.75,1.0,0.0,0.1083,0.0,0.1083
15,BULL,ETR,3.33,0.991,2023-12-07,25.8764,3.817,0.7601,0.0091,0.4812,1.0,0.0,0.4,0.0,0.4
16,BULL,PLAB,3.33,0.9903,2023-12-07,21.326,2.5379,0.5863,-0.0155,1.456,1.0,0.0,0.5,0.0,0.5
17,BULL,NOC,3.33,0.9897,2023-12-07,14.1539,2.8494,0.6106,-0.0393,0.1051,1.0,0.0,0.4,0.0,0.4
18,BULL,BGC,3.33,0.989,2023-12-07,23.7928,0.1613,0.8154,-0.0939,0.7455,1.0,0.0,0.1083,0.0,0.1083
19,BULL,STLD,3.33,0.9884,2023-12-07,23.0221,1.9561,0.7727,-0.0354,0.8041,1.0,0.0,0.4,0.0,0.4
20,BULL,CGNX,3.33,0.9877,2023-12-07,23.9909,1.6761,0.8288,-0.0387,0.9991,1.0,0.0,0.0583,0.0,0.0583
21,BULL,NVDA,3.33,0.9871,2023-12-07,16.0602,0.0186,0.8057,-0.0801,1.7197,1.0,0.0,1.0833,0.0,1.0833
22,BULL,BYD,3.33,0.9864,2023-12-07,14.571,1.8457,0.6963,-0.0527,1.1345,1.0,0.0,0.0583,0.0,0.0583
23,BULL,BMY,3.33,0.9858,2023-12-07,37.3351,-2.1416,0.8185,-0.1178,0.4238,1.0,0.0,0.0583,0.0,0.0583
24,BULL,TEX,3.33,0.9851,2023-12-07,14.5337,2.4595,0.6522,-0.0088,1.4366,1.0,0.0,0.0583,0.0,0.0583
25,BULL,BHF,3.33,0.9845,2023-12-07,40.2706,4.7474,0.8029,0.0175,1.3478,1.0,0.0,0.5333,0.0,0.5333
26,BULL,SBUX,3.33,0.9838,2023-12-07,25.8474,-3.5262,0.8043,-0.1647,0.8294,1.0,0.0,0.1,0.0,0.1
27,BULL,SLGN,3.33,0.9832,2023-12-07,12.7778,2.0584,0.7515,-0.0419,0.7262,1.0,0.0,0.25,0.0,0.25
28,BULL,CWT,3.33,0.9825,2023-12-07,19.9781,2.8549,0.8588,0.0067,0.5654,1.0,0.0,0.1083,0.0,0.1083
29,BULL,ANET,3.33,0.9819,2023-12-07,17.7979,1.0712,0.6415,-0.0539,1.2924,1.0,0.0,0.4,0.0,0.4
30,BULL,MYRG,3.33,0.9806,2023-12-07,23.4766,4.7064,0.7687,0.0467,0.9215,1.0,0.0,0.5417,0.0,0.5417
1,BEAR,ABR,3.33,1.0,2023-12-07,16.9953,1.782,0.9078,-0.0268,1.2001,1.0,0.0,0.0,0.175,-0.175
2,BEAR,J,3.33,0.9994,2023-12-07,19.3042,-1.3874,0.7965,-0.1121,0.6366,1.0,0.0,0.0,0.325,-0.325
3,BEAR,AGX,3.33,0.9987,2023-12-07,30.5438,-1.3848,1.0,-0.1276,0.028,1.0,0.0,0.0,0.1083,-0.1083
4,BEAR,KRYS,3.33,0.9981,2023-12-07,19.9387,0.26,0.7187,-0.0625,0.4878,1.0,0.0,0.0,0.25,-0.25
5,BEAR,NABL,3.33,0.9974,2023-12-07,25.8739,-3.5262,0.6868,-0.1845,0.8144,1.0,0.0,0.0,0.4,-0.4
6,BEAR,ENVA,3.33,0.9968,2023-12-07,20.4354,4.0499,0.792,0.0409,1.5807,1.0,0.0,0.0,0.35,-0.35
7,BEAR,BXMT,3.33,0.9961,2023-12-07,21.0164,-0.943,1.0,-0.1327,1.2117,1.0,0.0,0.0,0.1083,-0.1083
8,BEAR,BJ,3.33,0.9955,2023-12-07,18.5055,-2.2128,0.7922,-0.0982,0.4585,1.0,0.0,0.0,0.5333,-0.5333
9,BEAR,ENR,3.33,0.9948,2023-12-07,11.4382,-2.8246,0.7521,-0.1223,0.7381,1.0,0.0,0.0,0.1333,-0.1333
10,BEAR,HUM,3.33,0.9942,2023-12-07,13.6126,-0.5484,0.9938,-0.0902,-0.0499,1.0,0.0,0.0,0.1333,-0.1333
11,BEAR,WMT,3.33,0.9935,2023-12-07,23.126,-3.5262,0.8181,-0.1153,0.2685,1.0,0.0,0.0,0.1083,-0.1083
12,BEAR,HSIC,3.33,0.9929,2023-12-07,22.1804,5.1214,0.8752,0.0466,0.2481,1.0,0.0,0.0,0.5,-0.5
13,BEAR,JBL,3.33,0.9922,2023-12-07,24.5159,-2.6869,0.8954,-0.1638,1.2914,1.0,0.0,0.0,0.25,-0.25
14,BEAR,CHTR,3.33,0.9916,2023-12-07,37.5648,-3.4408,0.8775,-0.1519,1.0269,1.0,0.0,0.0,0.9167,-0.8333
